City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
110,bredasdorp,-34.5322,20.0403,6.83,69,18,4.66,ZA,1722820342
111,queenstown,-31.8976,26.8753,6.36,81,68,2.52,ZA,1722820607
112,tiksi,71.6872,128.8694,12.65,63,100,5.26,RU,1722820644
113,hermanus,-34.4187,19.2345,9.89,67,70,8.16,ZA,1722820645
114,yeraliyev,43.2,51.65,27.63,39,0,3.85,KZ,1722820646
115,northam,51.0333,-4.2167,17.03,92,46,6.21,GB,1722820647
116,utrik,11.2278,169.8474,28.54,80,39,6.51,MH,1722820521
117,petropavlovsk-kamchatsky,53.0452,158.6483,19.33,60,20,3.0,RU,1722820415
118,martapura,-3.4167,114.85,27.05,74,0,1.54,ID,1722820651
119,uturoa,-16.7333,-151.4333,24.69,71,5,7.22,PF,1722820653
120,turkmenbasy,40.0222,52.9552,23.43,64,0,2.06,TM,1722820654
121,oroqen zizhiqi,50.5667,123.7167,24.27,67,48,2.36,CN,1722820507
122,bukama,-9.2,25.85,20.28,28,1,1.42,CD,1722820656
123,minusinsk,53.7103,91.6875,22.01,77,6,2.33,RU,1722820657
124,smara,26.7384,-11.6719,25.05,47,3,4.82,EH,1722820658
125,piacabucu,-10.4056,-36.4344,23.64,71,0,4.12,BR,1722820659
126,bweyogerere,0.3558,32.6672,19.86,69,18,0.61,UG,1722820662
127,nantucket,41.2835,-70.0995,25.56,94,0,5.14,US,1722820432
128,onega,63.9061,38.1404,11.75,88,100,2.24,RU,1722820664
129,juneau,58.3019,-134.4197,27.0,100,20,3.09,US,1722820594
130,castillos,-34.1667,-53.8333,10.17,83,99,2.03,UY,1722820666
131,nogliki,51.8333,143.1667,15.45,68,100,6.93,RU,1722820667
132,kodiak,57.79,-152.4072,11.73,100,100,5.66,US,1722820204
133,songyuan,45.1171,124.8568,25.81,89,100,5.66,CN,1722820641
134,aasiaat,68.7098,-52.8699,2.07,91,1,2.45,GL,1722820172
135,talnakh,69.4865,88.3972,12.33,54,0,5.41,RU,1722820672
136,diekirch,49.8678,6.1558,16.45,93,77,0.84,LU,1722820673
137,ginir,7.1333,40.7,16.69,75,91,2.34,ET,1722820456
138,kerikeri,-35.2268,173.9474,16.62,60,40,2.68,NZ,1722820675
139,avarua,-21.2078,-159.775,25.03,69,20,3.6,CK,1722820294
140,sechura,-5.5569,-80.8222,18.42,77,8,6.87,PE,1722820677
141,labrador city,52.9463,-66.9114,14.54,70,100,4.92,CA,1722820512
142,kimbe,-5.5502,150.1429,30.2,66,99,1.48,PG,1722820263
143,khorixas,-20.3667,14.9667,13.87,39,0,1.42,NA,1722820534
144,posto da mata,-17.8848,-39.8536,19.35,98,12,1.25,BR,1722820682
145,impfondo,1.6381,18.0667,22.2,95,89,1.01,CG,1722820683
146,mormugao,15.4,73.8,26.59,89,100,3.6,IN,1722820684
147,mwinilunga,-11.7358,24.4293,14.83,30,0,1.81,ZM,1722820685
148,lahaina,20.8783,-156.6825,29.45,68,24,4.75,US,1722820686
149,hermansverk,61.1846,6.8502,15.25,94,100,0.0,NO,1722820687
150,dinskaya,45.2178,39.2283,22.72,83,0,1.86,RU,1722820688
151,colonia,50.9333,6.95,17.68,84,0,1.54,DE,1722820570
152,salalah,17.0151,54.0924,26.05,89,100,1.03,OM,1722820691
153,kirensk,57.7853,108.1119,17.4,63,96,1.32,RU,1722820692
154,sitka,57.0531,-135.33,25.94,38,0,3.09,US,1722820070
155,male,4.1748,73.5089,27.97,78,100,6.69,MV,1722820694
156,pahlgam,34.0333,75.3333,14.54,93,44,0.49,IN,1722820695
157,tumsar,21.3833,79.7333,23.56,96,91,2.24,IN,1722820696
158,la ronge,55.1001,-105.2842,18.15,39,67,1.85,CA,1722820154
159,vorgashor,67.5833,63.95,8.45,65,57,5.03,RU,1722820516
160,pachino,36.7186,15.0907,26.5,83,0,1.86,IT,1722820700
161,ulladulla,-35.35,150.4667,15.88,49,100,2.24,AU,1722820452
162,pratola peligna,42.0983,13.8739,23.68,82,99,0.93,IT,1722820702
163,balkanabat,39.5108,54.3671,29.04,42,0,1.46,TM,1722820703
164,laveno,45.9128,8.6186,24.44,82,100,2.34,IT,1722820704
165,aykhal,66.0,111.5,20.58,40,36,6.61,RU,1722820705
166,sibolga,1.7427,98.7792,26.58,72,100,0.32,ID,1722820707
167,ulanhot,46.0833,122.0833,26.36,59,100,5.46,CN,1722820709
168,enewetak,11.3474,162.3373,28.89,76,100,4.11,MH,1722820710
169,ilulissat,69.2167,-51.1,7.01,76,40,0.51,GL,1722820189
170,kirkland lake,48.1446,-80.0377,14.16,77,46,0.51,CA,1722820712
171,mugia,43.1041,-9.2179,18.28,93,2,2.91,ES,1722820713
172,sao vicente,-23.9631,-46.3919,28.1,57,99,0.88,BR,1722820280
173,karungdong,5.8844,121.263,28.72,71,90,1.7,PH,1722820715
174,santiago de cao,-7.9589,-79.2392,17.07,88,40,3.6,PE,1722820239
175,lazaro cardenas,17.9583,-102.2,27.97,80,100,3.48,MX,1722820719
176,dawesville,30.9224,-84.0091,24.82,95,40,4.12,US,1722820721
177,magadan,59.5667,150.8,16.05,71,2,1.82,RU,1722820722
178,banda aceh,5.5577,95.3222,28.1,73,100,4.56,ID,1722820723
179,gaspe,48.8334,-64.4819,21.12,88,75,3.09,CA,1722820699
180,okha,53.5739,142.9478,15.33,61,100,7.8,RU,1722820725
181,rovaniemi,66.5,25.7167,13.67,71,0,3.09,FI,1722820726
182,daru,-9.0763,143.2092,25.71,83,87,6.2,PG,1722820728
183,laojunmiao,39.8333,97.7333,25.65,17,95,0.86,CN,1722820729
184,manokwari,-0.8667,134.0833,24.02,91,100,1.22,ID,1722820730
185,barguzin,53.6167,109.6167,20.37,64,2,3.05,RU,1722820731
186,keflavik,64.0049,-22.5624,11.95,87,100,7.72,IS,1722820732
187,sabang,5.8933,95.3214,28.5,75,99,7.72,ID,1722820733
188,pimenta bueno,-11.6725,-61.1936,26.05,38,0,1.71,BR,1722820734
189,vilyuysk,63.7553,121.6247,20.63,37,62,5.16,RU,1722820735
190,hamilton,39.1834,-84.5333,28.82,71,20,2.06,US,1722820245
191,dolgoderevenskoye,55.3444,61.3444,16.19,95,0,4.0,RU,1722820738
192,bahau,2.8079,102.4049,24.44,93,100,1.38,MY,1722820739
